t,S,I,R
9.641175262984305,569,201,230
9.641393428394398,569,200,231
9.641680249366033,568,201,231
9.643430792269521,567,202,231
9.64349724877808,567,201,232
9.648544431028016,566,202,232
9.651241663396206,565,203,232
9.669498419875685,565,202,233
9.677527457850797,565,201,234
9.684551805381478,565,200,235
9.685008320180694,565,199,236
9.687424636891262,564,200,236
9.690604781495953,564,199,237
9.714231098297919,563,200,237
9.716828879975452,563,199,238
9.735843016398563,562,200,238
9.754156517393374,561,201,238
9.754199523762097,561,200,239
9.758927111037515,560,201,239
9.781819564331531,559,202,239
9.794646089066912,558,203,239
9.796523130746698,557,204,239
9.797238750441773,556,205,239
9.8011162229395,556,204,240
9.810437363525704,555,205,240
9.811682073197826,554,206,240
9.817954702008766,553,207,240
9.82490069172729,552,208,240
9.829464967093596,552,207,241
9.830056216499756,552,206,242
9.83403975089852,552,205,243
9.835405502066479,552,204,244
9.851820663102009,551,205,244
9.854520699600329,550,206,244
9.86271266254167,549,207,244
9.864805476907689,548,208,244
9.868175351556598,547,209,244
9.877190266684682,547,208,245
9.880881937695026,547,207,246
9.882297877254247,546,208,246
9.884315203194191,546,207,247
9.887781068627355,545,208,247
9.89349319917776,545,207,248
9.89550829606295,544,208,248
9.902321608454274,544,207,249
9.912898628493469,544,206,250
9.92271646624223,543,207,250
9.922811470287423,543,206,251
9.956508108044368,542,207,251
9.960970017650013,541,208,251
9.96234419010437,540,209,251
9.963071771648329,540,208,252
9.984980581805473,539,209,252
9.989496265048544,538,210,252
10.00186680288838,537,211,252
10.004478750791368,537,210,253
10.009185698367162,536,211,253
10.012285022112659,535,212,253
10.034350774150127,535,211,254
10.045397884256875,535,210,255
10.046927516675048,534,211,255
10.050166745779222,533,212,255
10.051667648054561,532,213,255
10.06053895839683,532,212,256
10.077580526331479,531,213,256
10.082623409148123,531,212,257
10.085391251799392,530,213,257
10.085796274344219,530,212,258
10.093588549383892,530,211,259
10.09629803616226,529,212,259
10.116967569076401,529,211,260
10.126019846490692,529,210,261
10.126676719794116,529,209,262
10.15107647962472,528,210,262
10.155146125002396,527,211,262
10.16759648436934,526,212,262
10.178773022110036,525,213,262
10.189856971281605,524,214,262
10.217417873138773,524,213,263
10.232868898441794,524,212,264
10.233895478471677,524,211,265
10.236886063736863,523,212,265
10.253841651502032,522,213,265
10.256835892427828,522,212,266
10.275646733590643,522,211,267
10.282515079726055,522,210,268
10.295303783713726,521,211,268
10.301905570316487,520,212,268
10.30467324396401,520,211,269
10.31776750367807,520,210,270
10.323484094474153,520,209,271
10.32712087336433,520,208,272
10.335679811422967,519,209,272
10.352101460888878,519,208,273
10.366329672279438,518,209,273
10.37815191078344,517,210,273
10.387152186610166,517,209,274
10.402597642565405,516,210,274
10.410749703603505,516,209,275
10.416341009697527,515,210,275
10.419298461987088,515,209,276
10.435157404448857,515,208,277
10.440854481460342,514,209,277
10.470201315817443,513,210,277
10.472111164431421,513,209,278
10.489761992750337,513,208,279
10.490052767719423,512,209,279
10.499879138627458,512,208,280
10.501746069429316,511,209,280
10.505526868800954,510,210,280
10.50746862422554,509,211,280
10.510791268805182,509,210,281
10.517338454125479,509,209,282
10.520012262067809,508,210,282
10.522131130930726,507,211,282
10.535945433243374,507,210,283
10.57775564776442,507,209,284
10.578419451577089,506,210,284
10.589122768372997,505,211,284
10.602077301502012,504,212,284
10.6037831653702,504,211,285
10.625436703033179,504,210,286
10.657935644925193,504,209,287
10.6612859743778,504,208,288
10.683282757303132,503,209,288
10.736753090466546,502,210,288
10.763144433960624,501,211,288
10.772978739577503,501,210,289
10.781341192348583,500,211,289
10.782055968577014,500,210,290
10.78544064959954,500,209,291
10.786654291027533,499,210,291
10.790867277778172,498,211,291
10.791657727275865,497,212,291
10.797400661065778,497,211,292
10.801603382697385,497,210,293
10.803297002666833,496,211,293
10.809043745688957,495,212,293
10.822298291120653,495,211,294
10.826539782261442,494,212,294
10.846801677586331,493,213,294
10.854081635498774,492,214,294
10.862401903808646,492,213,295
10.868079319638149,491,214,295
10.873672910782977,491,213,296
10.878156481746961,491,212,297
10.879259380793712,490,213,297
10.881256367413673,489,214,297
10.906286346902036,488,215,297
10.911376760683169,487,216,297
10.911563646726817,486,217,297
10.918577996566942,486,216,298
10.919122525350957,485,217,298
10.921967288192684,484,218,298
10.926656417202752,484,217,299
10.936410425580451,483,218,299
10.939755656739765,483,217,300
10.94080201175046,483,216,301
10.94624385383499,483,215,302
10.958427217920677,483,214,303
10.965000815483464,482,215,303
10.977737634404026,481,216,303
10.993080846810425,480,217,303
10.994890390937302,480,216,304
11.01143868413294,479,217,304
11.020734964165614,478,218,304
11.028517341635302,478,217,305
11.036619224914473,477,218,305
11.03875238458684,477,217,306
11.055211707455783,476,218,306
11.059489142976114,476,217,307
11.06193239537796,475,218,307
11.06648900898141,475,217,308
11.067740980110043,474,218,308
11.068573030057388,474,217,309
11.072611129756686,474,216,310
11.07321889769726,473,217,310
11.079206014431064,472,218,310
11.111986989203835,472,217,311
11.112076819812055,472,216,312
11.123935490520905,471,217,312
11.137305468657557,470,218,312
11.141892034742817,470,217,313
11.14936066115954,470,216,314
11.155408247196874,470,215,315
11.163096661274798,469,216,315
11.168353311201361,468,217,315
11.169619586870974,467,218,315
11.183630853146,467,217,316
11.185719660940148,466,218,316
11.196376876133144,465,219,316
11.198360526155847,464,220,316
11.205691177936055,463,221,316
11.221469648000626,462,222,316
11.23230552887303,461,223,316
11.238040969290342,460,224,316
11.240594860331885,460,223,317
11.247690968286594,460,222,318
11.256779998166923,460,221,319
11.26306371853518,459,222,319
11.26418608541685,458,223,319
11.26945715294318,457,224,319
11.27549736554578,457,223,320
11.27600040949276,456,224,320
11.277576181053671,456,223,321
11.279816877423864,455,224,321
11.281606578020448,455,223,322
11.288159411605156,454,224,322
11.29415613817197,454,223,323
11.301483059507127,453,224,323
11.303131020918888,452,225,323
11.323245664261737,451,226,323
11.324350113007457,451,225,324
11.327609597158807,450,226,324
11.329150837447067,449,227,324
11.338305556673845,449,226,325
11.339831183745451,449,225,326
11.350407036482428,449,224,327
11.358049656758823,448,225,327
11.366921109246773,448,224,328
11.379688144866416,447,225,328
11.382557413259246,447,224,329
11.393546158786512,446,225,329
11.40395086997675,446,224,330
11.407013947684435,445,225,330
11.419328072187767,444,226,330
11.420920253777311,444,225,331
11.42815070111109,443,226,331
11.430278274459974,442,227,331
11.435410703775286,441,228,331
11.443706520450895,440,229,331
11.443914790763579,440,228,332
11.446065507589548,439,229,332
11.447435174591318,439,228,333
11.452681169537934,438,229,333
11.472948783646912,437,230,333
11.473735963022554,436,231,333
11.494153729097373,435,232,333
11.495388679749801,434,233,333
11.49689691168858,433,234,333
11.506894332764237,433,233,334
11.51639796844924,432,234,334
11.522822073822038,431,235,334
11.52689541585814,430,236,334
11.535434593275,429,237,334
11.536366251780194,428,238,334
